trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
checkpoint-500,300,refreshed_reference_entropy_delta_abs,0.2844667302757422,0.010749909474492643,0.00741383987970066,0.013937060295551418,21,24
checkpoint-500,300,preceding_reference_entropy_delta,0.21306520245043573,0.02689547020488255,0.020938845716662064,0.03279436990004874,23,24
checkpoint-500,300,preceding_reference_entropy_delta_abs,0.2897228325718072,0.016006011770557656,0.012693859652029972,0.019109041212306423,23,24
checkpoint-500,300,attention_max_late_early_lift,1.418040035460965,0.30226460643101,0.05289180105579673,0.5518358672504503,16,24
checkpoint-500,300,attention_mean_late_early_lift,1.4498650386269762,0.24080196027319448,0.016721600186192995,0.47193377695967115,17,24
checkpoint-500,400,attention_train3_max,0.10318597286991715,0.06868342049227895,0.057670226352507174,0.07994184221357423,24,24
checkpoint-500,400,attention_train3_mean,0.018610498985645214,0.012185611909106045,0.009990608443752992,0.014424664114037894,24,24
checkpoint-500,400,attention_last8_max,0.11328920615727273,0.060559971249169085,0.050826088063399735,0.07038129122161717,24,24
checkpoint-500,400,attention_last8_mean,0.018989643641200964,0.010075907001273162,0.008224354067870896,0.012001719754060494,24,24
checkpoint-500,400,attention_train3_max_lift,0.28227981735812674,0.19634966825673184,0.1634343314320436,0.23588388743666372,24,24
checkpoint-500,400,attention_train3_mean_lift,0.04816551064866315,0.03289553663124777,0.02824284174782206,0.03876650564882105,24,24
checkpoint-500,400,audio_entropy,1.043139580603115,-0.08975754346888119,-0.09844741903694283,-0.08153439929468101,0,24
checkpoint-500,400,text_entropy,1.2549046197186124,-0.0746775411887568,-0.08241740572945339,-0.06696128557396325,0,24
checkpoint-500,400,entropy_delta,0.2117650391154974,0.015080002280124398,0.010847526097496958,0.019188723833816503,23,24
checkpoint-500,400,entropy_delta_abs,0.30247959492112114,0.011895498278595124,0.008775275651468663,0.01483456256665339,21,24
checkpoint-500,400,training_reference_entropy_delta_abs,0.326479677126503,0.052762856325253425,0.045138916770722105,0.06089243096609653,24,24
checkpoint-500,400,audio_silence_logprob_delta,0.3631530453137979,0.014933293719541446,0.009513635860704611,0.020596646586000588,21,24
checkpoint-500,400,current_no_features_entropy,1.2433536267287095,-0.0757132295888399,-0.0844443819883442,-0.06761275146239079,0,24
checkpoint-500,400,refreshed_reference_entropy_delta,0.20021404612559449,0.014044313880041286,0.009354966335170457,0.0180370199083889,22,24
checkpoint-500,400,refreshed_reference_entropy_delta_abs,0.28411065511071515,0.010393834309465609,0.007260945874367943,0.01327392703613595,21,24
checkpoint-500,400,preceding_reference_entropy_delta,0.19969602603637648,0.013526293790823313,0.009080200281255384,0.017430336514241727,22,24
checkpoint-500,400,preceding_reference_entropy_delta_abs,0.28394814921521705,0.010231328413967513,0.006922423940217889,0.013415485909991358,21,24
checkpoint-500,400,attention_max_late_early_lift,1.4248283686253835,0.3090529395954287,0.03504806598280464,0.5767833007139647,16,24
checkpoint-500,400,attention_mean_late_early_lift,1.4555003760497833,0.2464372976960015,0.006524035773719528,0.49020293288667605,17,24
checkpoint-500,500,attention_train3_max,0.10338690897454773,0.06888435659690954,0.05788994811026811,0.08010540807953537,24,24
checkpoint-500,500,attention_train3_mean,0.01862125734197437,0.012196370265435205,0.010006995424160557,0.014423488715536968,24,24
checkpoint-500,500,attention_last8_max,0.11342764690936269,0.060698412001259056,0.05090901907923812,0.07053413281277614,24,24
checkpoint-500,500,attention_last8_mean,0.018994227930340096,0.010080491290412292,0.00823172692833913,0.012001119353502392,24,24
checkpoint-500,500,attention_train3_max_lift,0.28364547088070835,0.19771532177931342,0.16400295658189748,0.2380766120458822,24,24
